,series,contestant,episode,var,value
0,1,Frank Skinner,1,score,19.0
1,1,Frank Skinner,1,win,1.0
2,1,Frank Skinner,1,score_win,19.0
3,1,Frank Skinner,2,score,9.0
4,1,Frank Skinner,2,win,0.0
5,1,Frank Skinner,3,score,15.0
6,1,Frank Skinner,3,win,0.0
7,1,Frank Skinner,4,score,14.0
8,1,Frank Skinner,4,win,0.0
9,1,Frank Skinner,5,score,20.0
10,1,Frank Skinner,5,win,1.0
11,1,Frank Skinner,5,score_win,20.0
12,1,Frank Skinner,6,score,16.0
13,1,Frank Skinner,6,win,0.0
14,1,Josh Widdicombe,1,score,13.0
15,1,Josh Widdicombe,1,win,0.0
16,1,Josh Widdicombe,2,score,16.0
17,1,Josh Widdicombe,2,win,0.0
18,1,Josh Widdicombe,3,score,22.0
19,1,Josh Widdicombe,3,win,1.0
20,1,Josh Widdicombe,3,score_win,22.0
21,1,Josh Widdicombe,4,score,16.0
22,1,Josh Widdicombe,4,win,1.0
23,1,Josh Widdicombe,4,score_win,16.0
24,1,Josh Widdicombe,5,score,18.0
25,1,Josh Widdicombe,5,win,0.0
26,1,Josh Widdicombe,6,score,9.0
27,1,Josh Widdicombe,6,win,0.0
28,1,Roisin Conaty,1,score,7.0
29,1,Roisin Conaty,1,win,0.0
30,1,Roisin Conaty,2,score,21.0
31,1,Roisin Conaty,2,win,1.0
32,1,Roisin Conaty,2,score_win,21.0
33,1,Roisin Conaty,3,score,9.0
34,1,Roisin Conaty,3,win,0.0
35,1,Roisin Conaty,4,score,9.0
36,1,Roisin Conaty,4,win,0.0
37,1,Roisin Conaty,5,score,14.0
38,1,Roisin Conaty,5,win,0.0
39,1,Roisin Conaty,6,score,8.0
40,1,Roisin Conaty,6,win,0.0
41,1,Romesh Ranganathan,1,score,19.0
42,1,Romesh Ranganathan,1,win,1.0
43,1,Romesh Ranganathan,1,score_win,19.0
44,1,Romesh Ranganathan,2,score,14.0
45,1,Romesh Ranganathan,2,win,0.0
46,1,Romesh Ranganathan,3,score,22.0
47,1,Romesh Ranganathan,3,win,1.0
48,1,Romesh Ranganathan,3,score_win,22.0
49,1,Romesh Ranganathan,4,score,10.0
50,1,Romesh Ranganathan,4,win,0.0
51,1,Romesh Ranganathan,5,score,16.0
52,1,Romesh Ranganathan,5,win,0.0
53,1,Romesh Ranganathan,6,score,12.0
54,1,Romesh Ranganathan,6,win,0.0
55,1,Tim Key,1,score,17.0
56,1,Tim Key,1,win,0.0
57,1,Tim Key,2,score,18.0
58,1,Tim Key,2,win,0.0
59,1,Tim Key,3,score,16.0
60,1,Tim Key,3,win,0.0
61,1,Tim Key,4,score,9.0
62,1,Tim Key,4,win,0.0
63,1,Tim Key,5,score,10.0
64,1,Tim Key,5,win,0.0
65,1,Tim Key,6,score,18.0
66,1,Tim Key,6,win,1.0
67,1,Tim Key,6,score_win,18.0
68,2,Doc Brown,1,score,9.0
69,2,Doc Brown,1,win,0.0
70,2,Doc Brown,2,score,18.0
71,2,Doc Brown,2,win,0.0
72,2,Doc Brown,3,score,21.0
73,2,Doc Brown,3,win,0.0
74,2,Doc Brown,4,score,18.0
75,2,Doc Brown,4,win,1.0
76,2,Doc Brown,4,score_win,18.0
77,2,Doc Brown,5,score,12.0
78,2,Doc Brown,5,win,0.0
79,2,Joe Wilkinson,1,score,8.0
80,2,Joe Wilkinson,1,win,0.0
81,2,Joe Wilkinson,2,score,13.0
82,2,Joe Wilkinson,2,win,0.0
83,2,Joe Wilkinson,3,score,25.0
84,2,Joe Wilkinson,3,win,0.0
85,2,Joe Wilkinson,4,score,12.0
86,2,Joe Wilkinson,4,win,0.0
87,2,Joe Wilkinson,5,score,11.0
88,2,Joe Wilkinson,5,win,0.0
89,2,Jon Richardson,1,score,18.0
90,2,Jon Richardson,1,win,0.0
91,2,Jon Richardson,2,score,25.0
92,2,Jon Richardson,2,win,1.0
93,2,Jon Richardson,2,score_win,25.0
94,2,Jon Richardson,3,score,17.0
95,2,Jon Richardson,3,win,0.0
96,2,Jon Richardson,4,score,17.0
97,2,Jon Richardson,4,win,0.0
98,2,Jon Richardson,5,score,13.0
99,2,Jon Richardson,5,win,0.0
100,2,Katherine Ryan,1,score,17.0
101,2,Katherine Ryan,1,win,0.0
102,2,Katherine Ryan,2,score,19.0
103,2,Katherine Ryan,2,win,0.0
104,2,Katherine Ryan,3,score,30.0
105,2,Katherine Ryan,3,win,1.0
106,2,Katherine Ryan,3,score_win,30.0
107,2,Katherine Ryan,4,score,15.0
108,2,Katherine Ryan,4,win,0.0
109,2,Katherine Ryan,5,score,13.0
110,2,Katherine Ryan,5,win,0.0
111,2,Richard Osman,1,score,20.0
112,2,Richard Osman,1,win,1.0
113,2,Richard Osman,1,score_win,20.0
114,2,Richard Osman,2,score,15.0
115,2,Richard Osman,2,win,0.0
116,2,Richard Osman,3,score,27.0
117,2,Richard Osman,3,win,0.0
118,2,Richard Osman,4,score,5.0
119,2,Richard Osman,4,win,0.0
120,2,Richard Osman,5,score,19.0
121,2,Richard Osman,5,win,1.0
122,2,Richard Osman,5,score_win,19.0
123,3,Al Murray,1,score,21.0
124,3,Al Murray,1,win,1.0
125,3,Al Murray,1,score_win,21.0
126,3,Al Murray,2,score,18.0
127,3,Al Murray,2,win,0.0
128,3,Al Murray,3,score,9.0
129,3,Al Murray,3,win,0.0
130,3,Al Murray,4,score,16.0
131,3,Al Murray,4,win,0.0
132,3,Al Murray,5,score,16.0
133,3,Al Murray,5,win,0.0
134,3,Dave Gorman,1,score,13.0
135,3,Dave Gorman,1,win,0.0
136,3,Dave Gorman,2,score,17.0
137,3,Dave Gorman,2,win,0.0
138,3,Dave Gorman,3,score,21.0
139,3,Dave Gorman,3,win,0.0
140,3,Dave Gorman,4,score,17.0
141,3,Dave Gorman,4,win,1.0
142,3,Dave Gorman,4,score_win,17.0
143,3,Dave Gorman,5,score,13.0
144,3,Dave Gorman,5,win,0.0
145,3,Paul Chowdhry,1,score,8.0
146,3,Paul Chowdhry,1,win,0.0
147,3,Paul Chowdhry,2,score,13.0
148,3,Paul Chowdhry,2,win,0.0
149,3,Paul Chowdhry,3,score,22.0
150,3,Paul Chowdhry,3,win,1.0
151,3,Paul Chowdhry,3,score_win,22.0
152,3,Paul Chowdhry,4,score,11.0
153,3,Paul Chowdhry,4,win,0.0
154,3,Paul Chowdhry,5,score,12.0
155,3,Paul Chowdhry,5,win,0.0
156,3,Rob Beckett,1,score,15.0
157,3,Rob Beckett,1,win,0.0
158,3,Rob Beckett,2,score,21.0
159,3,Rob Beckett,2,win,1.0
160,3,Rob Beckett,2,score_win,21.0
161,3,Rob Beckett,3,score,19.0
162,3,Rob Beckett,3,win,0.0
163,3,Rob Beckett,4,score,15.0
164,3,Rob Beckett,4,win,0.0
165,3,Rob Beckett,5,score,17.0
166,3,Rob Beckett,5,win,1.0
167,3,Rob Beckett,5,score_win,17.0
168,3,Sara Pascoe,1,score,16.0
169,3,Sara Pascoe,1,win,0.0
170,3,Sara Pascoe,2,score,16.0
171,3,Sara Pascoe,2,win,0.0
172,3,Sara Pascoe,3,score,17.0
173,3,Sara Pascoe,3,win,0.0
174,3,Sara Pascoe,4,score,14.0
175,3,Sara Pascoe,4,win,0.0
176,3,Sara Pascoe,5,score,9.0
177,3,Sara Pascoe,5,win,0.0
178,4,Hugh Dennis,1,score,13.0
179,4,Hugh Dennis,1,win,0.0
180,4,Hugh Dennis,2,score,17.0
181,4,Hugh Dennis,2,win,0.0
182,4,Hugh Dennis,3,score,15.0
183,4,Hugh Dennis,3,win,0.0
184,4,Hugh Dennis,4,score,17.0
185,4,Hugh Dennis,4,win,0.0
186,4,Hugh Dennis,5,score,21.0
187,4,Hugh Dennis,5,win,1.0
188,4,Hugh Dennis,5,score_win,21.0
189,4,Hugh Dennis,6,score,13.0
190,4,Hugh Dennis,6,win,0.0
191,4,Hugh Dennis,7,score,20.0
192,4,Hugh Dennis,7,win,1.0
193,4,Hugh Dennis,7,score_win,20.0
194,4,Hugh Dennis,8,score,13.0
195,4,Hugh Dennis,8,win,0.0
196,4,Joe Lycett,1,score,17.0
197,4,Joe Lycett,1,win,0.0
198,4,Joe Lycett,2,score,13.0
199,4,Joe Lycett,2,win,0.0
200,4,Joe Lycett,3,score,19.0
201,4,Joe Lycett,3,win,1.0
202,4,Joe Lycett,3,score_win,19.0
203,4,Joe Lycett,4,score,18.0
204,4,Joe Lycett,4,win,0.0
205,4,Joe Lycett,5,score,18.0
206,4,Joe Lycett,5,win,0.0
207,4,Joe Lycett,6,score,14.0
208,4,Joe Lycett,6,win,0.0
209,4,Joe Lycett,7,score,20.0
210,4,Joe Lycett,7,win,1.0
211,4,Joe Lycett,7,score_win,20.0
212,4,Joe Lycett,8,score,16.0
213,4,Joe Lycett,8,win,0.0
214,4,Lolly Adefope,1,score,13.0
215,4,Lolly Adefope,1,win,0.0
216,4,Lolly Adefope,2,score,18.0
217,4,Lolly Adefope,2,win,0.0
218,4,Lolly Adefope,3,score,12.0
219,4,Lolly Adefope,3,win,0.0
220,4,Lolly Adefope,4,score,15.0
221,4,Lolly Adefope,4,win,0.0
222,4,Lolly Adefope,5,score,15.0
223,4,Lolly Adefope,5,win,0.0
224,4,Lolly Adefope,6,score,19.0
225,4,Lolly Adefope,6,win,1.0
226,4,Lolly Adefope,6,score_win,19.0
227,4,Lolly Adefope,7,score,20.0
228,4,Lolly Adefope,7,win,1.0
229,4,Lolly Adefope,7,score_win,20.0
230,4,Lolly Adefope,8,score,13.0
231,4,Lolly Adefope,8,win,0.0
232,4,Mel Giedroyc,1,score,16.0
233,4,Mel Giedroyc,1,win,0.0
234,4,Mel Giedroyc,2,score,20.0
235,4,Mel Giedroyc,2,win,1.0
236,4,Mel Giedroyc,2,score_win,20.0
237,4,Mel Giedroyc,3,score,3.0
238,4,Mel Giedroyc,3,win,0.0
239,4,Mel Giedroyc,4,score,24.0
240,4,Mel Giedroyc,4,win,1.0
241,4,Mel Giedroyc,4,score_win,24.0
242,4,Mel Giedroyc,5,score,21.0
243,4,Mel Giedroyc,5,win,1.0
244,4,Mel Giedroyc,5,score_win,21.0
245,4,Mel Giedroyc,6,score,16.0
246,4,Mel Giedroyc,6,win,0.0
247,4,Mel Giedroyc,7,score,13.0
248,4,Mel Giedroyc,7,win,0.0
249,4,Mel Giedroyc,8,score,21.0
250,4,Mel Giedroyc,8,win,1.0
251,4,Mel Giedroyc,8,score_win,21.0
252,4,Noel Fielding,1,score,18.0
253,4,Noel Fielding,1,win,1.0
254,4,Noel Fielding,1,score_win,18.0
255,4,Noel Fielding,2,score,18.0
256,4,Noel Fielding,2,win,0.0
257,4,Noel Fielding,3,score,19.0
258,4,Noel Fielding,3,win,1.0
259,4,Noel Fielding,3,score_win,19.0
260,4,Noel Fielding,4,score,23.0
261,4,Noel Fielding,4,win,0.0
262,4,Noel Fielding,5,score,12.0
263,4,Noel Fielding,5,win,0.0
264,4,Noel Fielding,6,score,15.0
265,4,Noel Fielding,6,win,0.0
266,4,Noel Fielding,7,score,19.0
267,4,Noel Fielding,7,win,0.0
268,4,Noel Fielding,8,score,20.0
269,4,Noel Fielding,8,win,0.0
270,5,Aisling Bea,1,score,13.0
271,5,Aisling Bea,1,win,0.0
272,5,Aisling Bea,2,score,17.0
273,5,Aisling Bea,2,win,0.0
274,5,Aisling Bea,3,score,13.0
275,5,Aisling Bea,3,win,0.0
276,5,Aisling Bea,4,score,24.0
277,5,Aisling Bea,4,win,1.0
278,5,Aisling Bea,4,score_win,24.0
279,5,Aisling Bea,5,score,15.0
280,5,Aisling Bea,5,win,0.0
281,5,Aisling Bea,6,score,17.0
282,5,Aisling Bea,6,win,0.0
283,5,Aisling Bea,7,score,17.0
284,5,Aisling Bea,7,win,0.0
285,5,Aisling Bea,8,score,10.0
286,5,Aisling Bea,8,win,0.0
287,5,Bob Mortimer,1,score,18.0
288,5,Bob Mortimer,1,win,1.0
289,5,Bob Mortimer,1,score_win,18.0
290,5,Bob Mortimer,2,score,16.0
291,5,Bob Mortimer,2,win,0.0
292,5,Bob Mortimer,3,score,17.0
293,5,Bob Mortimer,3,win,1.0
294,5,Bob Mortimer,3,score_win,17.0
295,5,Bob Mortimer,4,score,21.0
296,5,Bob Mortimer,4,win,0.0
297,5,Bob Mortimer,5,score,14.0
298,5,Bob Mortimer,5,win,0.0
299,5,Bob Mortimer,6,score,18.0
300,5,Bob Mortimer,6,win,1.0
301,5,Bob Mortimer,6,score_win,18.0
302,5,Bob Mortimer,7,score,18.0
303,5,Bob Mortimer,7,win,1.0
304,5,Bob Mortimer,7,score_win,18.0
305,5,Bob Mortimer,8,score,15.0
306,5,Bob Mortimer,8,win,0.0
307,5,Mark Watson,1,score,17.0
308,5,Mark Watson,1,win,0.0
309,5,Mark Watson,2,score,19.0
310,5,Mark Watson,2,win,0.0
311,5,Mark Watson,3,score,15.0
312,5,Mark Watson,3,win,0.0
313,5,Mark Watson,4,score,24.0
314,5,Mark Watson,4,win,1.0
315,5,Mark Watson,4,score_win,24.0
316,5,Mark Watson,5,score,16.0
317,5,Mark Watson,5,win,1.0
318,5,Mark Watson,5,score_win,16.0
319,5,Mark Watson,6,score,13.0
320,5,Mark Watson,6,win,0.0
321,5,Mark Watson,7,score,15.0
322,5,Mark Watson,7,win,0.0
323,5,Mark Watson,8,score,11.0
324,5,Mark Watson,8,win,0.0
325,5,Nish Kumar,1,score,13.0
326,5,Nish Kumar,1,win,0.0
327,5,Nish Kumar,2,score,19.0
328,5,Nish Kumar,2,win,0.0
329,5,Nish Kumar,3,score,12.0
330,5,Nish Kumar,3,win,0.0
331,5,Nish Kumar,4,score,12.0
332,5,Nish Kumar,4,win,0.0
333,5,Nish Kumar,5,score,13.0
334,5,Nish Kumar,5,win,0.0
335,5,Nish Kumar,6,score,12.0
336,5,Nish Kumar,6,win,0.0
337,5,Nish Kumar,7,score,12.0
338,5,Nish Kumar,7,win,0.0
339,5,Nish Kumar,8,score,14.0
340,5,Nish Kumar,8,win,0.0
341,5,Sally Phillips,1,score,14.0
342,5,Sally Phillips,1,win,0.0
343,5,Sally Phillips,2,score,20.0
344,5,Sally Phillips,2,win,1.0
345,5,Sally Phillips,2,score_win,20.0
346,5,Sally Phillips,3,score,16.0
347,5,Sally Phillips,3,win,0.0
348,5,Sally Phillips,4,score,15.0
349,5,Sally Phillips,4,win,0.0
350,5,Sally Phillips,5,score,14.0
351,5,Sally Phillips,5,win,0.0
352,5,Sally Phillips,6,score,18.0
353,5,Sally Phillips,6,win,1.0
354,5,Sally Phillips,6,score_win,18.0
355,5,Sally Phillips,7,score,16.0
356,5,Sally Phillips,7,win,0.0
357,5,Sally Phillips,8,score,16.0
358,5,Sally Phillips,8,win,1.0
359,5,Sally Phillips,8,score_win,16.0
360,6,Alice Levine,1,score,18.0
361,6,Alice Levine,1,win,1.0
362,6,Alice Levine,1,score_win,18.0
